S. No.,University Name,College Name,College Type,State Name,District Name,,,,,
605,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Matha College of Arts and Science," Manamadurai (Id: C-28519)""",Affiliated College,Tamil Nadu,Sivaganga,,,,
606,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",PMT Memorial college, Kamuthi (Id: C-28530),Affiliated College,Tamil Nadu,Ramanathapuram,,,,
607,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Raja Doraisingam Government Arts College, Sivaganga (Id: C-28512),Affiliated College,Tamil Nadu,Sivaganga,,,,
608,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Ramasamy Tamil College, Karaikudi (Id: C-28525),Affiliated College,Tamil Nadu,Sivaganga,,,,
609,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Seethalakshmi Achi College for Women, Pallathur (Id: C-28516),Affiliated College,Tamil Nadu,Sivaganga,,,,
610,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Sethupathi Govt. Arts College, Ramanathapuram (Id: C-28520),Affiliated College,Tamil Nadu,Ramanathapuram,,,,
611,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Sonai Meenal Arts and Science College, Mudukulathur (Id: C-28528),Affiliated College,Tamil Nadu,Ramanathapuram,,,,
612,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Sree Sevugan Annamalai College," Devakottai (Id: C-28535)""",Affiliated College,Tamil Nadu,Sivaganga,,,,
613,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Sri Sarada Niketan college for Women, Amaravathipudur (Id: C-28513),Affiliated College,Tamil Nadu,Sivaganga,,,,
614,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Syed Ammal College of Arts and Science, Ramanathapuram (Id: C-28527),Affiliated College,Tamil Nadu,Ramanathapuram,,,,
615,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Syed Hameedha Arabic College," Kilakarai (Id: C-28511)""",Affiliated College,Tamil Nadu,Ramanathapuram,,,,
616,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Syed Hameetha Arts and Science College, Kilakarai (Id: C-28531),Affiliated College,Tamil Nadu,Ramanathapuram,,,,
617,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",The Thassim Beevi Abdul Kadar College for Women, Kilakarai (Id: C-28515),Affiliated College,Tamil Nadu,Ramanathapuram,,,,
618,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",THIAGI THARMAKKAN AMIRTHAM COLLEGE OF ARTS AND SCIENCE ,Affiliated College,Tamil Nadu,Ramanathapuram,,,,,
619,"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",VSS Government Arts College, Poolankurichi (Id: C-28522),Affiliated College,Tamil Nadu,Sivaganga,,,,
626,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita Centre for Nanomedical Sciences, Kochi (Id: C-7027),PG Center / Off-Campus Center,Kerala,Ernakulam,,,,
627,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita College of Nursing, Kochi (Id: C-7028),PG Center / Off-Campus Center,Kerala,Ernakulam,,,,
628,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Arts and Sciences, Amritapuri, Kollam (Id: C-7031),PG Center / Off-Campus Center,Kerala,Kollam,,,
629,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Arts and Sciences, Kochi (Id: C-7030),PG Center / Off-Campus Center,Kerala,Ernakulam,,,,
630,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Arts and Sciences, Mysore (Id: C-7035),PG Center / Off-Campus Center,Karnataka,Mysore,,,,
631,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Ayurveda, Amritapuri, Kollam (Id: C-7026),PG Center / Off-Campus Center,Kerala,Kollam,,,
632,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Biotechnology, Amritapuri, Kollam (Id: C-7025),PG Center / Off-Campus Center,Kerala,Kollam,,,
633,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Business, Coimbatore (Id: C-7023),Constituent / University College,Tamil Nadu,Coimbatore,,,,
634,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Dentistry, Kochi (Id: C-7019),PG Center / Off-Campus Center,Kerala,Ernakulam,,,,
635,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Education, Mysore (Id: C-7032),PG Center / Off-Campus Center,Karnataka,Mysore,,,,
636,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Engineering, Amritapuri, Kollam (Id: C-7036),PG Center / Off-Campus Center,Kerala,Kollam,,,
637,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Engineering, Bangalore (Id: C-7034),PG Center / Off-Campus Center,Karnataka,Bangalore Rural,,,,
638,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Engineering, Coimbatore (Id: C-7021),Constituent / University College,Tamil Nadu,Coimbatore,,,,
639,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Medicine, Kochi (Id: C-7017),PG Center / Off-Campus Center,Kerala,Ernakulam,,,,
640,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Amrita School of Pharmacy, Kochi (Id: C-7018),PG Center / Off-Campus Center,Kerala,Ernakulam,,,,
641,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Department of Communication, Coimbatore (Id: C-7024),Constituent / University College,Tamil Nadu,Coimbatore,,,,
642,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Department of Management, Amritapuri, Kollam (Id: C-7020),PG Center / Off-Campus Center,Kerala,Kollam,,,
643,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Department of Management, Bangalore (Id: C-7029),PG Center / Off-Campus Center,Karnataka,Bangalore Rural,,,,
644,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Department of Management, Kochi (Id: C-7022),PG Center / Off-Campus Center,Kerala,Ernakulam,,,,
645,"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",Department of Social Work, Coimbatore (Id: C-7033),Constituent / University College,Tamil Nadu,Coimbatore,,,,
982,"Anna University, Chennai (Id: U-0439)",Aalim Muhammed Salegh College of Engineering ,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
983,"Anna University, Chennai (Id: U-0439)",A.C. College of Technology Campus ,Constituent / University College,Tamil Nadu,Chennai,,,,,
984,"Anna University, Chennai (Id: U-0439)",A C T College of Engineering and Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
985,"Anna University, Chennai (Id: U-0439)",Adhi College of Engineering and Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
986,"Anna University, Chennai (Id: U-0439)",Adhiparasakthi College of Engineering,Affiliated College,Tamil Nadu,Vellore,,,,,
987,"Anna University, Chennai (Id: U-0439)",Adhiparasakthi Engineering College ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
988,"Anna University, Chennai (Id: U-0439)",Adithya Institute of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
989,"Anna University, Chennai (Id: U-0439)",Adiyaman College of Engineering ,Affiliated College,Tamil Nadu,Krishnagiri,,,,,
990,"Anna University, Chennai (Id: U-0439)",AGNI SCHOOL OF BUSINESS EXCELLENCE ,Affiliated College,Tamil Nadu,Madurai,,,,,
991,"Anna University, Chennai (Id: U-0439)",AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY, ERODE (Id: C-45289),Affiliated College,Tamil Nadu,Erode,,,,
992,"Anna University, Chennai (Id: U-0439)",AJK Institute of Management ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
993,"Anna University, Chennai (Id: U-0439)",Akshaya College of Engineering and Technology,Affiliated College,Tamil Nadu,Coimbatore,,,,,
994,"Anna University, Chennai (Id: U-0439)",AKSHAYA INSTITUTE OF MANAGEMENT STUDIES, COIMBATORE (Id: C-46582),Affiliated College,Tamil Nadu,Coimbatore,,,,
995,"Anna University, Chennai (Id: U-0439)",Aksheyaa College of Engineering ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
996,"Anna University, Chennai (Id: U-0439)",A.K.T. Memorial College of Engineering & Technology ,Affiliated College,Tamil Nadu,Viluppuram,,,,,
997,"Anna University, Chennai (Id: U-0439)",Alagappa Chettiar College of Engg &Tech," Karaikudi (Id: C-26789)""",Affiliated College,Tamil Nadu,Sivaganga,,,,
998,"Anna University, Chennai (Id: U-0439)",Al-Ameen Engineering College ,Affiliated College,Tamil Nadu,Erode,,,,,
999,"Anna University, Chennai (Id: U-0439)",Alpha College of Engineering ,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1000,"Anna University, Chennai (Id: U-0439)",Alpha Institute of Management ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1001,"Anna University, Chennai (Id: U-0439)",Anand Institute of Higher Technology,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1002,"Anna University, Chennai (Id: U-0439)",Anand School of Architecture ,Affiliated College,Tamil Nadu,Chennai,,,,,
1003,"Anna University, Chennai (Id: U-0439)",Angel College of Engineering and Technology ,Affiliated College,Tamil Nadu,Tiruppur,,,,,
1004,"Anna University, Chennai (Id: U-0439)",Anjalai Ammal Mahalingam Engineering College ,Affiliated College,Tamil Nadu,Thiruvarur,,,,,
1005,"Anna University, Chennai (Id: U-0439)",Annai College of Engineering and Technology ,Affiliated College,Tamil Nadu,Thanjavur,,,,,
1006,"Anna University, Chennai (Id: U-0439)",Annai Mathammal Sheela Engineering College ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1007,"Anna University, Chennai (Id: U-0439)",ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY ,Affiliated College,Tamil Nadu,Chennai,,,,,
1008,"Anna University, Chennai (Id: U-0439)",Annai Teresa College of Engineering (Id: C-16505),Affiliated College,Tamil Nadu,Viluppuram,,,,,
1009,"Anna University, Chennai (Id: U-0439)",Annai Vailankanni College of Engineering (Id: C-27088),Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1010,"Anna University, Chennai (Id: U-0439)",Annamalaiar College of Engineering (Id: C-16467),Affiliated College,Tamil Nadu,Tiruvannamalai,,,,,
1011,"Anna University, Chennai (Id: U-0439)",Annapoorana Engineering College (Id: C-36971),Affiliated College,Tamil Nadu,Salem,,,,,
1012,"Anna University, Chennai (Id: U-0439)",Anna University of Technology Madurai," Dindigul Campus (Id: C-26786)""",Constituent / University College,Tamil Nadu,Dindigul,,,,
1013,"Anna University, Chennai (Id: U-0439)",Anna University of Technology Madurai," Madurai Campus (Id: C-26778)""",Constituent / University College,Tamil Nadu,Madurai,,,,
1014,"Anna University, Chennai (Id: U-0439)",Anna University of Technology Madurai," Ramnad Campus (Id: C-26803)""",Constituent / University College,Tamil Nadu,Ramanathapuram,,,,
1015,"Anna University, Chennai (Id: U-0439)",Anna University of Technology," Tiruchirappalli - Ariyalur Campus (Id: C-25048)""",Constituent / University College,Tamil Nadu,Ariyalur,,,,
1016,"Anna University, Chennai (Id: U-0439)",Anna University of Technology Tiruchirappalli - Panruti Campus ,Constituent / University College,Tamil Nadu,Cuddalore,,,,,
1017,"Anna University, Chennai (Id: U-0439)",Anna University of Technology Tiruchirappalli - Pattukkottai Campus ,Constituent / University College,Tamil Nadu,Thanjavur,,,,,
1018,"Anna University, Chennai (Id: U-0439)",Anna University of Technology Tiruchirappalli - Tirukkuvalai Campus ,Constituent / University College,Tamil Nadu,Nagapattinam,,,,,
1019,"Anna University, Chennai (Id: U-0439)",Apollo Engineering College ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1020,"Anna University, Chennai (Id: U-0439)",Apollo Priyadarshanam Institute of Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1021,"Anna University, Chennai (Id: U-0439)",Arasu Engineering College ,Affiliated College,Tamil Nadu,Thanjavur,,,,,
1022,"Anna University, Chennai (Id: U-0439)",A R Engineering College,Affiliated College,Tamil Nadu,Viluppuram,,,,,
1023,"Anna University, Chennai (Id: U-0439)",Arignar Anna Institute of Science and Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1024,"Anna University, Chennai (Id: U-0439)",A.R.J. College of Engineering and Technology ,Affiliated College,Tamil Nadu,Thiruvarur,,,,,
1025,"Anna University, Chennai (Id: U-0439)",A.R.J. Institute of Management Studies ,Affiliated College,Tamil Nadu,Thiruvarur,,,,,
1026,"Anna University, Chennai (Id: U-0439)",A R M College of Engineering and Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1027,"Anna University, Chennai (Id: U-0439)",AR SCHOOL OF BUSINESS ,Affiliated College,Tamil Nadu,Madurai,,,,,
1028,"Anna University, Chennai (Id: U-0439)",Arul College of Technology ,Affiliated College,Tamil Nadu,Tirunelveli,,,,,
1029,"Anna University, Chennai (Id: U-0439)",Arulmigu Meenakshi Amman College of Engineering ,Affiliated College,Tamil Nadu,Tiruvannamalai,,,,,
1030,"Anna University, Chennai (Id: U-0439)",ARULMURUGA TECHNICAL CAMPUS ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1031,"Anna University, Chennai (Id: U-0439)",Arunachala College of Engineering for Women ,Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1032,"Anna University, Chennai (Id: U-0439)",Arunai Engineering College ,Affiliated College,Tamil Nadu,Tiruvannamalai,,,,,
1033,"Anna University, Chennai (Id: U-0439)",Asan Memorial College of Engineering and Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1034,"Anna University, Chennai (Id: U-0439)",ASL Pauls College of Engineering and Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1035,"Anna University, Chennai (Id: U-0439)",As-Salam College of Engineering and Technology ,Affiliated College,Tamil Nadu,Thanjavur,,,,,
1036,"Anna University, Chennai (Id: U-0439)",A.V.C. College of Engineering ,Affiliated College,Tamil Nadu,Nagapattinam,,,,,
1037,"Anna University, Chennai (Id: U-0439)",AVS Engineering College ,Affiliated College,Tamil Nadu,Salem,,,,,
1038,"Anna University, Chennai (Id: U-0439)",Balaji Institute of Engineering and Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1039,"Anna University, Chennai (Id: U-0439)",Balamani Arunachalam Educational & Charitable Trusts Group of Institution ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1040,"Anna University, Chennai (Id: U-0439)",Bannari Amman Institute of Technology ,Affiliated College,Tamil Nadu,Erode,,,,,
1041,"Anna University, Chennai (Id: U-0439)",BANNARI AMMAN INSTITUTE OF TECHNOLOGY - MCA PROGRAMME ,Affiliated College,Tamil Nadu,Erode,,,,,
1042,"Anna University, Chennai (Id: U-0439)",Bhajarang Engineering College,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1043,"Anna University, Chennai (Id: U-0439)",Bharathidasan Engineering College ,Affiliated College,Tamil Nadu,Vellore,,,,,
1044,"Anna University, Chennai (Id: U-0439)",Bharathiyar Institute of Engineering for Women,Affiliated College,Tamil Nadu,Salem,,,,,
1045,"Anna University, Chennai (Id: U-0439)",Bharath Niketan Engineering College," Theni (Id: C-26806)""",Affiliated College,Tamil Nadu,Theni,,,,
1046,"Anna University, Chennai (Id: U-0439)",B K R College of Engineering and Technology ,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1047,"Anna University, Chennai (Id: U-0439)",BRAHMA SCHOOL OF BUSINESS," NAMAKKAL (Id: C-45294)""",Affiliated College,Tamil Nadu,Namakkal,,,,
1048,"Anna University, Chennai (Id: U-0439)",C. Abdul Hakeem College of Engineering and Technology ,Affiliated College,Tamil Nadu,Vellore,,,,,
1049,"Anna University, Chennai (Id: U-0439)",Cape Institute of Technology ,Affiliated College,Tamil Nadu,Tirunelveli,,,,,
1050,"Anna University, Chennai (Id: U-0439)",C.A.R.E School of Architecture (New) ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1051,"Anna University, Chennai (Id: U-0439)",C.A.R.E. School of Engineering ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1052,"Anna University, Chennai (Id: U-0439)",Cauvery College of Engineering and Technology ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1053,"Anna University, Chennai (Id: U-0439)",Central Electro Chemicals Researh Institute, Karaikudi (Id: C-26800),Affiliated College,Tamil Nadu,Sivaganga,,,,
1054,"Anna University, Chennai (Id: U-0439)",Central Institute of Plastics Engineering and Technology,Affiliated College,Tamil Nadu,Chennai,,,,,
1055,"Anna University, Chennai (Id: U-0439)",Chandy College of Engineering,Affiliated College,Tamil Nadu,Thoothukkudi,,,,,
1056,"Anna University, Chennai (Id: U-0439)",Chendhuran College of Engineering and Technology ,Affiliated College,Tamil Nadu,Pudukkottai,,,,,
1057,"Anna University, Chennai (Id: U-0439)",Chendu College of Engineering & Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1058,"Anna University, Chennai (Id: U-0439)",Chennai Institute of Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1059,"Anna University, Chennai (Id: U-0439)",CHERAN COLLEGE OF ENGINEERING ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1060,"Anna University, Chennai (Id: U-0439)",CHERAN SCHOOL OF ARCHITECTURE,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1061,"Anna University, Chennai (Id: U-0439)",Chettinad College of Engineering & Technology ,Affiliated College,Tamil Nadu,Karur,,,,,
1062,"Anna University, Chennai (Id: U-0439)",Christian College of Engineering and Technology, Oddanchatram," Palani (Id: C-26780)""",Affiliated College,Tamil Nadu,Dindigul,,,
1063,"Anna University, Chennai (Id: U-0439)",Christ The King Engineering College ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1064,"Anna University, Chennai (Id: U-0439)",C K College of Engineering & Technology (Formerly Sri Jayaram Engineering College) ,Affiliated College,Tamil Nadu,Cuddalore,,,,,
1065,"Anna University, Chennai (Id: U-0439)",CMS College of Engineering ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1066,"Anna University, Chennai (Id: U-0439)",CMS College of Engineering and Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1067,"Anna University, Chennai (Id: U-0439)",Coimbatore Institute of Engineering and Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1068,"Anna University, Chennai (Id: U-0439)",Coimbatore Institute of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1069,"Anna University, Chennai (Id: U-0439)",College of Business Management ,Affiliated College,Tamil Nadu,Krishnagiri,,,,,
1070,"Anna University, Chennai (Id: U-0439)",College of Engg," Guindy Campus (Id: C-25072)""",Constituent / University College,Tamil Nadu,Chennai,,,,
1071,"Anna University, Chennai (Id: U-0439)",CR ENGINEERING COLLEGE, VALAYAPATTI," MADURAI (Id: C-45317)""",Affiliated College,Tamil Nadu,Madurai,,,
1072,"Anna University, Chennai (Id: U-0439)",CSI College of Engineering ,Affiliated College,Tamil Nadu,The Nilgiris,,,,,
1073,"Anna University, Chennai (Id: U-0439)",C.S.I.Institute of Technology ,Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1074,"Anna University, Chennai (Id: U-0439)",DA VINCI SCHOOL OF DESIGN AND ARCHITECTURE ,Affiliated College,Tamil Nadu,Chennai,,,,,
1075,"Anna University, Chennai (Id: U-0439)",Designed Environment Academy & Research Institute (DEAR) ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1076,"Anna University, Chennai (Id: U-0439)",Dhaanish Ahmed College of Engineering ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1077,"Anna University, Chennai (Id: U-0439)",Dhanalakshmi College of Engineering,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1078,"Anna University, Chennai (Id: U-0439)",Dhanalakshmi Srinivasan College of Engineering ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1079,"Anna University, Chennai (Id: U-0439)",Dhanalakshmi Srinivasan College of Engineering and Technology ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1080,"Anna University, Chennai (Id: U-0439)",Dhanalakshmi Srinivasan Engineering College ,Affiliated College,Tamil Nadu,Perambalur,,,,,
1081,"Anna University, Chennai (Id: U-0439)",Dhanalakshmi Srinivasan Institute of Management ,Affiliated College,Tamil Nadu,Perambalur,,,,,
1082,"Anna University, Chennai (Id: U-0439)",DHANALAKSHMI SRINIVASAN INSTITUTE OF RESEARCH AND TECHNOLOGY ,Affiliated College,Tamil Nadu,Perambalur,,,,,
1083,"Anna University, Chennai (Id: U-0439)",DHANALAKSHMI SRINIVASAN INSTITUTE OF TECHNOLOGY ,Affiliated College,Tamil Nadu,Tiruchirappalli,,,,,
1084,"Anna University, Chennai (Id: U-0439)",DHIRAJLAL GANDHI COLLEGE OF TECHNOLOGY," SALEM (Id: C-45299)""",Affiliated College,Tamil Nadu,Salem,,,,
1085,"Anna University, Chennai (Id: U-0439)",DMI College of Engineering ,Affiliated College,Tamil Nadu,Kancheepuram,,,,,
1086,"Anna University, Chennai (Id: U-0439)",DMI Engineering College ,Affiliated College,Tamil Nadu,Kanniyakumari,,,,,
1087,"Anna University, Chennai (Id: U-0439)",Dr.G.U.Pope College of Engineering ,Affiliated College,Tamil Nadu,Thoothukkudi,,,,,
1088,"Anna University, Chennai (Id: U-0439)",Dr.Mahalingam College of Engineering and Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1089,"Anna University, Chennai (Id: U-0439)",Dr.Nagarathinam's College of Engineering ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1090,"Anna University, Chennai (Id: U-0439)",Dr.Nallini Institute of Engineering and Technology ,Affiliated College,Tamil Nadu,Tiruppur,,,,,
1091,"Anna University, Chennai (Id: U-0439)",Dr.Navalar Nedunchezhiyan College of Engineering ,Affiliated College,Tamil Nadu,Cuddalore,,,,,
1092,"Anna University, Chennai (Id: U-0439)",Dr N.G.P. Institute of Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1093,"Anna University, Chennai (Id: U-0439)",Dr. Paul's Engineering College ,Affiliated College,Tamil Nadu,Viluppuram,,,,,
1094,"Anna University, Chennai (Id: U-0439)",Dr.Sivanthi Adithanar College of Engineering ,Affiliated College,Tamil Nadu,Thoothukkudi,,,,,
1095,"Anna University, Chennai (Id: U-0439)",Easa College of Engineering & Technology ,Affiliated College,Tamil Nadu,Coimbatore,,,,,
1096,"Anna University, Chennai (Id: U-0439)",Easwari Engineering College ,Affiliated College,Tamil Nadu,Thiruvallur,,,,,
1097,"Anna University, Chennai (Id: U-0439)",Edayathangudy G.S.Pillay Engineering College ,Affiliated College,Tamil Nadu,Nagapattinam,,,,,
1098,"Anna University, Chennai (Id: U-0439)",Einstein College of Engineering ,Affiliated College,Tamil Nadu,Tirunelveli,,,,,
1099,"Anna University, Chennai (Id: U-0439)",Erode Builder Educational Trust's Group of Institutions ,Affiliated College,Tamil Nadu,Tiruppur,,,,,
1100,"Anna University, Chennai (Id: U-0439)",Erode Sengunthar Engineering College ,Affiliated College,Tamil Nadu,Erode,,,,,
1101,"Anna University, Chennai (Id: U-0439)",Er. Perumal Manimekalai College of Engineering ,Affiliated College,Tamil Nadu,Krishnagiri,,,,,
1102,"Anna University, Chennai (Id: U-0439)",E.S. College of Engineering and Technology,Affiliated College,Tamil Nadu,Viluppuram,,,,,
1103,"Anna University, Chennai (Id: U-0439)",Excel Business School ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1104,"Anna University, Chennai (Id: U-0439)",Excel College of Architecture and Planning ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1105,"Anna University, Chennai (Id: U-0439)",Excel College of Engineering & Technology ,Affiliated College,Tamil Nadu,Namakkal,,,,,
1106,"Anna University, Chennai (Id: U-0439)",Excel College of Technology,Affiliated College,Tamil Nadu,Namakkal,,,,,
1107,"Anna University, Chennai (Id: U-0439)",Excel Engineering College,Affiliated College,Tamil Nadu,Namakkal,,,,,
1108,"Anna University, Chennai (Id: U-0439)",Fatima Michael College of Engineering and Technology," Madurai (Id: C-26784)""",Affiliated College,Tamil Nadu,Madurai,,,,
